KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV April 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
air ticket cancellation insurance,20,20,10,-50%,Travel - Cancellation - Insurance,Financial Hardship
cruise trip cancellation insurance,30,20,10,-50%,Travel - Cancellation - Insurance,Financial Hardship
what happens if my flight is cancelled southwest,10,20,10,-50%,Travel - Cancellation - Question,Health & Safety
how to cancel make my trip flight ticket,10,20,10,-50%,Travel - Cancellation - Question,Health & Safety
flight rebooking fee,10,20,10,-50%,Travel - Fees - Rebooking,Financial Hardship
how much to rebook a flight,20,20,10,-50%,Travel - Fees - Rebooking - Question,Financial Hardship
same day cancellation hotels,50,40,20,-50%,Travel - Hotel - Cancellation,Financial Hardship
how to get out of hotel cancellation fee,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
when can you cancel hotel reservations,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
forgot to cancel hotel reservation,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
how long do you have to cancel a hotel reservation,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
what happens if i cancel a hotel reservation,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellations london,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
how to cancel a hotel room,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
can you cancel a hotel booking,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
can a hotel charge a cancelled credit card,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
no cancellation policy hotel,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
can i cancel my hotel booking,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
free cancellation hotels london,10,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
how to avoid hotel cancellation fees,20,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
typical hotel cancellation policy,20,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
hotel booking sites with free cancellation,20,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation protection,30,20,10,-50%,Travel - Hotel - Cancellation,Financial Hardship
can you get a refund on hotel reservations,10,40,20,-50%,Travel - Hotel - Refund,Financial Hardship
travelocity refund hotel,10,40,20,-50%,Travel - Hotel - Refund,Financial Hardship
refund non refundable hotel,10,40,20,-50%,Travel - Hotel - Refund,Financial Hardship
how to get a refund from a hotel,40,40,20,-50%,Travel - Hotel - Refund,Financial Hardship
refundable hotel rooms,10,20,10,-50%,Travel - Hotel - Refund,Financial Hardship
can i get a refund on a hotel booking,10,20,10,-50%,Travel - Hotel - Refund,Financial Hardship
refund priceline hotel,10,20,10,-50%,Travel - Hotel - Refund,Financial Hardship
priceline hotel cancellation refund,10,20,10,-50%,Travel - Hotel - Refund,Financial Hardship
how to change non refundable hotel reservations,10,20,10,-50%,Travel - Hotel - Refund,Financial Hardship
where to vacation right now,20,140,70,-50%,Travel - Information - Question,Travel Distruption
does travel insurance cover rebooking,10,20,10,-50%,Travel - Insurance,Financial Hardship
airbnb cancellation travel insurance,10,20,10,-50%,Travel - Insurance - Cancellation,Health & Safety
flight interruption insurance,20,20,10,-50%,Travel - Insurance - Cancellation,Financial Hardship
best travel insurance for flight cancellations,20,20,10,-50%,Travel - Insurance - Cancellation - Best,Financial Hardship
best trip cancellation insurance for any reason,50,20,10,-50%,Travel - Insurance - Cancellation - Best,Financial Hardship
latest flight information,10,40,20,-50%,Travel - News,Travel Distruption
president trump new travel ban,20,20,10,-50%,Travel - News,Health & Safety
fully refundable flights,110,140,70,-50%,Travel - Refund,Financial Hardship
full refundable flight tickets,30,40,20,-50%,Travel - Refund,Financial Hardship
airlines with refundable flights,10,20,10,-50%,Travel - Refund,Financial Hardship
refundable international flight tickets,20,20,10,-50%,Travel - Refund,Financial Hardship
fully refundable flight tickets,30,20,10,-50%,Travel - Refund,Financial Hardship
what airlines refund tickets,10,40,20,-50%,Travel - Refund - Question,Financial Hardship
can i get a refund for a flight ticket,10,20,10,-50%,Travel - Refund - Question,Financial Hardship
can i refund flight ticket,10,20,10,-50%,Travel - Refund - Question,Financial Hardship
flight passenger rights,30,20,10,-50%,Travel - Regulations,Financial Hardship
call spirit reservations,10,20,10,-50%,Travel - Reserve,Health & Safety
safest us airports,20,20,10,-50%,Travel - Safe,Health & Safety
air travel health tips,40,20,10,-50%,Travel - Safe,Health & Safety
is the united states safe to travel to,10,20,10,-50%,Travel - Safe - Question,Health & Safety
summer vacation safety,20,20,10,-50%,Travel - Summer,Health & Safety
do not travel country list,10,20,10,-50%,Travel - Travel Ban,Health & Safety
countries that are banned from us,10,20,10,-50%,Travel - Travel Ban,Health & Safety
united flight change fee waived,0,20,10,-50%,Travel - Waivers,Financial Hardship
travel to united states,210,"1,000",480,-52%,Travel - Information,Travel Distruption
travel information,"1,600","1,900",880,-54%,Travel - Information,Health & Safety
american airlines canceled flight policy,30,110,50,-55%,Travel - Airline - Cancellation,Health & Safety
best places to travel during summer,140,110,50,-55%,Travel - Best,Financial Hardship
why is southwest cancelling flights today,30,110,50,-55%,Travel - Cancellation - Question,Health & Safety
refundable hotel booking,110,110,50,-55%,Travel - Hotel - Refund,Financial Hardship
air travel today,110,"1,300",590,-55%,Travel - Airline - News,Financial Hardship
delta airlines flights,"60,500","40,500",18100,-55%,Travel - Information,Financial Hardship
delta flexible ticket,70,90,40,-56%,Travel - Airline - Cancellation,Financial Hardship
cancellation policy,"5,400","8,100",3600,-56%,Travel - Airline - Cancellation - Policy,Financial Hardship
american airlines flight refund,320,"5,400",2400,-56%,Travel - Airline - Refund,Financial Hardship
fully refundable airline tickets,70,90,40,-56%,Travel - Airline - Refund,Financial Hardship
hotel refund,140,720,320,-56%,Travel - Hotel - Refund,Financial Hardship
eu261 compensation,50,90,40,-56%,Travel - Regulations,Financial Hardship
travel insurance policy,720,880,390,-56%,Travel - Insurance,Financial Hardship
american airlines flight refund policy,140,590,260,-56%,Travel - Airline - Refund,Financial Hardship
non refundable airline tickets,260,590,260,-56%,Travel - Airline - Refund,Financial Hardship
why was my flight cancelled,320,590,260,-56%,Travel - Cancellation - Question,Financial Hardship
united airlines rebooking policy,30,320,140,-56%,Travel - Airline - Fees - Rebooking,Financial Hardship
is it safe to travel by air,70,480,210,-56%,Travel - Safe - Question,Health & Safety
cancel disney vacation,90,390,170,-56%,Travel - Cancellation,Financial Hardship
is flying safe right now,"1,300","4,400",1900,-57%,Travel - Safe - Question,Health & Safety
how to keep your hands clean,50,210,90,-57%,Travel - Airline - Cleanliness,Health & Safety
jfk airport announcement,50,70,30,-57%,Travel - Airport - Security,Health & Safety
flight ticket cancellation refund,30,70,30,-57%,Travel - Cancellation,Financial Hardship
cruise travel insurance cancel for any reason,90,70,30,-57%,Travel - Cancellation - Insurance,Financial Hardship
refundable hotel reservations,30,70,30,-57%,Travel - Hotel - Refund,Financial Hardship
hotel deposit refund,110,70,30,-57%,Travel - Hotel - Refund,Financial Hardship
trip insurance for airbnb,50,70,30,-57%,Travel - Insurance,Financial Hardship
cancel flight and get refund,10,70,30,-57%,Travel - Refund,Financial Hardship
air travel safety measures,40,70,30,-57%,Travel - Safe,Health & Safety
how to cancel your flight,30,170,70,-59%,Travel - Cancellation - Question,Health & Safety
where should i travel in the us,140,170,70,-59%,Travel - Information - Question,Travel Distruption
book refundable flights,110,170,70,-59%,Travel - Refund,Financial Hardship
flying safety tips,50,170,70,-59%,Travel - Safe,Health & Safety
airlines that offer free cancellation,10,50,20,-60%,Travel - Airline - Cancellation,Health & Safety
us airlines cancellation policy,10,50,20,-60%,Travel - Airline - Cancellation,Health & Safety
delta ticket cancellation refund,10,50,20,-60%,Travel - Cancellation,Health & Safety
claim flight compensation,50,50,20,-60%,Travel - Cancellation - Compensation,Financial Hardship
travel insurance trip cost,70,50,20,-60%,Travel - Cancellation - Insurance,Financial Hardship
can a hotel cancel my reservation,30,50,20,-60%,Travel - Hotel - Cancellation,Financial Hardship
refund my flight,10,50,20,-60%,Travel - Refund,Financial Hardship
can you refund flight tickets,50,50,20,-60%,Travel - Refund - Question,Financial Hardship
how to wash your hands properly step by step,70,"1,000",390,-61%,Travel - Airline - Cleanliness,Health & Safety
flight cancellation compensation,720,"1,300",480,-63%,Travel - Arline - Cancellation - Compensation,Financial Hardship
vacation cancelled,140,"1,600",590,-63%,Travel - Insurance - Cancellation,Financial Hardship
travel guidelines,320,"2,400",880,-63%,Travel - Guidelines,Health & Safety
southwest refund policy,"3,600","14,800",5400,-64%,Travel - Airline - News,Financial Hardship
delta refund policy,"1,900","12,100",4400,-64%,Travel - Airline - Refund,Financial Hardship
delta refundable ticket,"1,600","6,600",2400,-64%,Travel - Airline - Refund,Financial Hardship
cancel vacation,90,880,320,-64%,Travel - Cancellation,Health & Safety
ticket cancellation,390,880,320,-64%,Travel - Cancellation,Financial Hardship
denied boarding compensation,140,110,40,-64%,Travel - Cancellation - Compensation,Financial Hardship
vacation insurance cancel for any reason,50,110,40,-64%,Travel - Cancellation - Insurance,Financial Hardship
are plane tickets refundable,"1,600","4,400",1600,-64%,Travel - Refund,Financial Hardship
airport safety,390,880,320,-64%,Travel - Safe,Health & Safety
airline policy,140,720,260,-64%,Travel - Airline - Cancellation - Policy,Financial Hardship
vacation rental cancellation insurance,70,140,50,-64%,Travel - Cancellation - Insurance,Financial Hardship
can you get a refund on a hotel room,110,140,50,-64%,Travel - Hotel - Refund,Financial Hardship
can i get a refund for cancelled flights,20,140,50,-64%,Travel - Refund - Question,Financial Hardship
airline travel safety,40,140,50,-64%,Travel - Safe,Health & Safety
american airlines ticket cancellation policy,170,590,210,-64%,Travel - Airline - Cancellation,Health & Safety
eu flight cancellation compensation,170,590,210,-64%,Travel - Arline - Cancellation - Compensation,Financial Hardship
free cancellation hotels,480,590,210,-64%,Travel - Hotel - Cancellation,Financial Hardship
southwest airlines refund policy,"1,300","5,400",1900,-65%,Travel - Airline - Refund,Financial Hardship
plane travel,"1,900","5,400",1900,-65%,Travel - Plane,Health & Safety
are flights into florida cancelled,20,260,90,-65%,Travel - Cancellation,Health & Safety
non refundable flights,110,260,90,-65%,Travel - Refund,Financial Hardship
what is travel insurance,"2,400","2,900",1000,-66%,Travel - Insurance - Question,Financial Hardship
trip insurance coverage,260,320,110,-66%,Travel - Insurance,Financial Hardship
what is trip insurance,260,320,110,-66%,Travel - Insurance - Question,Financial Hardship
southwest reimbursement for cancelled flight,10,30,10,-67%,Travel - Airline - Cancellation,Health & Safety
any cancellations today,50,30,10,-67%,Travel - Airline - Cancellation,Financial Hardship
british airways flexible ticket refund policy,10,30,10,-67%,Travel - Airline - Cancellation - Policy,Financial Hardship
american airlines changing a flight,10,30,10,-67%,Travel - Airline - Change,Travel Distruption
delta airlines can i change my flight,20,30,10,-67%,Travel - Airline - Change,Travel Distruption
aircraft cleaning procedures,10,30,10,-67%,Travel - Airline - Cleanliness,Health & Safety
delta date change fee,10,30,10,-67%,Travel - Airline - Fees - Change,Financial Hardship
united change fees international,10,30,10,-67%,Travel - Airline - Fees - Change,Financial Hardship
american airlines change flight no fee,10,30,10,-67%,Travel - Airline - Fees - Change,Financial Hardship
airline tickets news,10,90,30,-67%,Travel - Airline - Ticket - News,Financial Hardship
my flight cancelled compensation,10,30,10,-67%,Travel - Arline - Cancellation - Compensation,Financial Hardship
cheap cancelled flights,70,210,70,-67%,Travel - Cancellation,Financial Hardship
reason for flight cancellation,210,210,70,-67%,Travel - Cancellation,Financial Hardship
flight cancellation information,10,30,10,-67%,Travel - Cancellation,Financial Hardship
air compensation,10,30,10,-67%,Travel - Cancellation,Financial Hardship
any flights cancelled tomorrow,10,30,10,-67%,Travel - Cancellation,Financial Hardship
airbnb medical cancellation,20,30,10,-67%,Travel - Cancellation,Health & Safety
airline cancellation charges,10,30,10,-67%,Travel - Cancellation - Charges,Financial Hardship
air ticket cancellation charges,10,30,10,-67%,Travel - Cancellation - Charges,Financial Hardship
cancelling a disney trip,50,90,30,-67%,Travel - Cancellation - Insurance,Financial Hardship
travel insurance ticket cancellation,40,30,10,-67%,Travel - Cancellation - Insurance,Financial Hardship
annual trip cancellation insurance,50,30,10,-67%,Travel - Cancellation - Insurance,Financial Hardship
missed connecting flight compensation,70,30,10,-67%,Travel - Compensation,Financial Hardship
rebook my flight,10,30,10,-67%,Travel - Fees - Rebooking,Financial Hardship
how much does it cost to rebook a flight,30,30,10,-67%,Travel - Fees - Rebooking - Question,Financial Hardship
can i cancel a hotel reservation,30,90,30,-67%,Travel - Hotel - Cancellation,Financial Hardship
credit card hotel cancellation,10,30,10,-67%,Travel - Hotel - Cancellation,Financial Hardship
can you cancel hotels com reservations,10,30,10,-67%,Travel - Hotel - Cancellation,Financial Hardship
how to cancel hotel reservation without fee,10,30,10,-67%,Travel - Hotel - Cancellation,Financial Hardship
how to get out of a hotel cancellation fee,10,30,10,-67%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation policy law,10,30,10,-67%,Travel - Hotel - Cancellation,Financial Hardship
hotels with no cancellation fee,30,30,10,-67%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancelation policy,30,30,10,-67%,Travel - Hotel - Cancellation,Financial Hardship
last minute hotel cancellations,50,30,10,-67%,Travel - Hotel - Cancellation,Financial Hardship
hotel will not refund my money,10,90,30,-67%,Travel - Hotel - Refund,Financial Hardship
do hotels give refunds,30,90,30,-67%,Travel - Hotel - Refund,Financial Hardship
how to cancel a non refundable hotel room,10,30,10,-67%,Travel - Hotel - Refund,Financial Hardship
are hotel reservations refundable,10,30,10,-67%,Travel - Hotel - Refund,Financial Hardship
cancelling a non refundable hotel room,10,30,10,-67%,Travel - Hotel - Refund,Financial Hardship
cancel non refundable hotel booking,10,30,10,-67%,Travel - Hotel - Refund,Financial Hardship
hotel no refund policy,10,30,10,-67%,Travel - Hotel - Refund,Financial Hardship
travel insurance hotel cancellation,70,90,30,-67%,Travel - Insurance - Cancellation,Financial Hardship
does airbnb offer cancellation insurance,10,30,10,-67%,Travel - Insurance - Cancellation,Health & Safety
travel insurance flight cancellation for any reason,40,30,10,-67%,Travel - Insurance - Cancellation,Financial Hardship
best flight cancellation insurance,40,30,10,-67%,Travel - Insurance - Cancellation - Best,Financial Hardship
flight cancellations refund rules,10,30,10,-67%,Travel - Refund,Financial Hardship
book refundable flight tickets,10,30,10,-67%,Travel - Refund,Financial Hardship
non refundable flight ticket cancellation,20,30,10,-67%,Travel - Refund,Financial Hardship
can you refund flights,10,30,10,-67%,Travel - Refund - Question,Financial Hardship
new travel restrictions to us,10,30,10,-67%,Travel - Restriction,Travel Distruption
countries advised not to travel to,10,30,10,-67%,Travel - Travel Ban,Health & Safety
travel ban family,10,30,10,-67%,Travel - Travel Ban,Travel Distruption
what countries are banned for us travel,10,30,10,-67%,Travel - Travel Ban - Question,Health & Safety
united change flight fee waiver,10,30,10,-67%,Travel - Waivers,Financial Hardship
list of cancelled flights,90,"1,000",320,-68%,Travel - Cancellation,Financial Hardship
cancel disney trip,170,"1,000",320,-68%,Travel - Cancellation,Financial Hardship
flight ticket cancellation,390,"1,000",320,-68%,Travel - Cancellation,Financial Hardship
what happens if airline cancels flight,110,"1,000",320,-68%,Travel - Cancellation - Question,Financial Hardship
trip interruption insurance,720,"1,000",320,-68%,Travel - Insurance,Financial Hardship
how to wash your hands poster,260,"1,900",590,-69%,Travel - Airline - Cleanliness,Health & Safety
is it safe to fly,"2,900","110,000",33100,-70%,Travel - Safe - Question,Health & Safety
united airlines policy,210,"1,300",390,-70%,Travel - Airline,Health & Safety
travel insurance coverage,"1,000","1,600",480,-70%,Travel - Insurance,Financial Hardship
airbnb travel insurance,590,"1,300",390,-70%,Travel - Insurance,Health & Safety
travel restrictions,"18,100","165,000",49500,-70%,Travel - Restriction,Travel Distruption
is it safe to travel by plane,210,"1,600",480,-70%,Travel - Safe - Question,Health & Safety
how to wash your hands properly,"4,400","33,100",9900,-70%,Travel - Airline - Cleanliness,Health & Safety
southwest airlines cancellation policy,"4,400","18,100",5400,-70%,Travel - Airline - Cancellation - Policy,Financial Hardship
airline travel,"1,900","14,800",4400,-70%,Travel - Airline,Health & Safety
delta airlines refund policy,590,"5,400",1600,-70%,Travel - Airline - Refund,Financial Hardship
airline cancellation policy,480,"8,100",2400,-70%,Travel - Cancellation,Financial Hardship
how to cancel airbnb,"1,900","8,100",2400,-70%,Travel - Cancellation - Question,Health & Safety
cancel trip,590,"4,400",1300,-70%,Travel - Cancellation,Health & Safety
aa cancellation policy,720,"4,400",1300,-70%,Travel - Cancellation,Health & Safety
rebook flight,260,880,260,-70%,Travel - Fees - Rebooking,Financial Hardship
how clean are airplanes,40,170,50,-71%,Travel - Airline - Cleanliness,Health & Safety
flights cancelled due to weather,720,170,50,-71%,Travel - Cancellation,Financial Hardship
flight insurance,"6,600","9,900",2900,-71%,Travel - Insurance,Health & Safety
cancelling an american airlines flight,170,720,210,-71%,Travel - Airline - Cancellation - Question,Health & Safety
cruise trip insurance,"1,000",720,210,-71%,Travel - Insurance,Financial Hardship
how does flight insurance work,260,480,140,-71%,Travel - Insurance - Question,Financial Hardship
are delta flights refundable,210,590,170,-71%,Travel - Airline - Refund,Financial Hardship
how to cancel hotel reservation,260,590,170,-71%,Travel - Cancellation - Reserve - Question,Health & Safety
international travel insurance,"6,600","6,600",1900,-71%,Travel - Insurance,Health & Safety
american airlines cancel booking,10,70,20,-71%,Travel - Airline - Cancellation,Health & Safety
does united refund flights,40,140,40,-71%,Travel - Airline - Cancellation - Refund,Financial Hardship
how to hand wash properly,10,70,20,-71%,Travel - Airline - Cleanliness,Health & Safety
airplane cleanliness,40,70,20,-71%,Travel - Airline - Cleanliness,Health & Safety
rebooking fee,70,140,40,-71%,Travel - Airline - Fees - Rebooking,Financial Hardship
alaska airlines rebooking fee,30,70,20,-71%,Travel - Airline - Fees - Rebooking,Financial Hardship
american airlines move flight,30,140,40,-71%,Travel - Airline - Move/Rebook,Travel Distruption
delta airlines reschedule policy,30,140,40,-71%,Travel - Airline - Reschedule,Travel Distruption
trip cancellation insurance only,210,140,40,-71%,Travel - Cancellation,Financial Hardship
my vacation got cancelled,20,70,20,-71%,Travel - Cancellation,Financial Hardship
air ticket cancellation refund,20,70,20,-71%,Travel - Cancellation - Refund,Financial Hardship
flight claim,70,70,20,-71%,Travel - Compensation,Financial Hardship
rebooking fees,70,140,40,-71%,Travel - Fees - Rebooking,Financial Hardship
cancelled hotel rooms,70,140,40,-71%,Travel - Hotel - Cancellation,Financial Hardship
hotel reservation cancellation policy law,30,70,20,-71%,Travel - Hotel - Cancellation,Financial Hardship
hotel reservation cancellation policy,40,70,20,-71%,Travel - Hotel - Cancellation,Financial Hardship
leave hotel early refund,70,70,20,-71%,Travel - Hotel - Refund,Financial Hardship
vacation cancellation insurance,70,140,40,-71%,Travel - Insurance - Cancellation,Financial Hardship
best trip insurance cancel for any reason,110,140,40,-71%,Travel - Insurance - Cancellation,Financial Hardship
cancellation only travel insurance,90,70,20,-71%,Travel - Insurance - Cancellation,Financial Hardship
should you get travel insurance,260,140,40,-71%,Travel - Insurance - Question,Financial Hardship
non refundable flight tickets,30,70,20,-71%,Travel - Refund,Financial Hardship
which airlines refund tickets,10,70,20,-71%,Travel - Refund - Question,Financial Hardship
how safe is delta airlines,110,70,20,-71%,Travel - Safe,Health & Safety
united airlines safety record,170,70,20,-71%,Travel - Safe,Health & Safety
us military banned travel countries,20,70,20,-71%,Travel - Travel Ban,Health & Safety
how to cancel flight ticket,140,390,110,-72%,Travel - Cancellation - Question,Financial Hardship
what happens if your flight is cancelled,210,390,110,-72%,Travel - Cancellation - Question,Health & Safety
free cancellation hotel booking,170,390,110,-72%,Travel - Hotel - Cancellation,Financial Hardship
european flight cancellation compensation,90,320,90,-72%,Travel - Arline - Cancellation - Compensation,Financial Hardship
flight disruptions,110,320,90,-72%,Travel - Distruption,Health & Safety
can you cancel hotel reservations,110,320,90,-72%,Travel - Hotel - Cancellation,Financial Hardship
credit card trip insurance,320,320,90,-72%,Travel - Insurance - Credit,Financial Hardship
trip cancellation coverage,90,110,30,-73%,Travel - Cancellation,Financial Hardship
airline compensation,140,110,30,-73%,Travel - Cancellation - Compensation,Financial Hardship
hotel cancellation letter,10,110,30,-73%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation email,50,110,30,-73%,Travel - Hotel - Cancellation,Financial Hardship
can you get a flight refund,50,110,30,-73%,Travel - Refund - Question,Financial Hardship
delta alerts,140,260,70,-73%,Travel - Airline - News,Financial Hardship
flight compensation,320,260,70,-73%,Travel - Cancellation - Compensation,Financial Hardship
american airlines trip insurance worth it,170,260,70,-73%,Travel - Insurance,Financial Hardship
british airways cancellation policy refund,110,"1,000",260,-74%,Travel - Airline - Cancellation - Policy,Financial Hardship
delta rebooking,260,"1,000",260,-74%,Travel - Airline - Rebooking,Financial Hardship
cancel plane ticket,390,"1,000",260,-74%,Travel - Cancellation,Financial Hardship
trip insurance for flights,480,"1,000",260,-74%,Travel - Insurance,Financial Hardship
flight cancellation policy,390,"1,900",480,-75%,Travel - Cancellation,Financial Hardship
travel cancellation insurance,"1,300","1,900",480,-75%,Travel - Insurance - Cancellation,Financial Hardship
delta cancellation policy for non refundable tickets,10,40,10,-75%,Travel - Airline - Cancellation - Policy,Financial Hardship
air canada non refundable ticket cancellation,30,40,10,-75%,Travel - Airline - Cancellation - Refund,Financial Hardship
how to scrub hands,10,40,10,-75%,Travel - Airline - Cleanliness,Health & Safety
airport travel advisory,20,40,10,-75%,Travel - Airline - News,Financial Hardship
southwest airlines ticket policy,10,40,10,-75%,Travel - Airline - Ticket,Financial Hardship
flight cancelled hotel refund,30,40,10,-75%,Travel - Cancellation,Financial Hardship
ticket cancellation charges,30,40,10,-75%,Travel - Cancellation - Charges,Financial Hardship
airline trip cancellation insurance,30,40,10,-75%,Travel - Cancellation - Insurance,Financial Hardship
cancelling vacation due to anxiety,50,40,10,-75%,Travel - Cancellation - Question,Health & Safety
can i rebook my flight,10,40,10,-75%,Travel - Fees - Rebooking - Question,Financial Hardship
booking com hotel cancellation policy,10,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
hotel room cancellation policy,10,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
cancel hotel reservation booking com,10,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
how to cancel hotel,10,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
hotel booking cancellation policy,10,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
how to cancel hotel booking,10,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
standard hotel cancellation policy,20,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
hotel reservation cancellation email,20,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
cheap hotels free cancellation,30,40,10,-75%,Travel - Hotel - Cancellation,Financial Hardship
refund on hotel room,10,40,10,-75%,Travel - Hotel - Refund,Financial Hardship
ticket cancellation insurance,30,40,10,-75%,Travel - Insurance - Cancellation,Financial Hardship
flight refund 24 hours,30,40,10,-75%,Travel - Refund,Financial Hardship
how to stay healthy on airplane flights,30,40,10,-75%,Travel - Safe,Health & Safety
trip cancellation,720,"2,900",720,-75%,Travel - Insurance - Cancellation,Financial Hardship
united flight insurance,880,"1,300",320,-75%,Travel - Airline - Insurance,Travel Distruption
us restrictions,50,"1,300",320,-75%,Travel - Restriction,Travel Distruption
how long will the travel ban last,90,"2,400",590,-75%,Travel - Travel Ban - Question,Health & Safety
airline flights,"90,500","165,000",40500,-75%,Travel - Airline,Health & Safety
us travel restrictions,"18,100","90,500",22200,-75%,Travel - Restriction,Travel Distruption
american airlines cancel flight,"8,100","135,000",33100,-75%,Travel - Cancellation,Financial Hardship
how to wash your hands,"6,600","74,000",18100,-76%,Travel - Airline - Cleanliness,Health & Safety
american airlines cancellations,"1,900","49,500",12100,-76%,Travel - Cancellation,Financial Hardship
cancel airline ticket,590,"3,600",880,-76%,Travel - Cancellation,Financial Hardship
how to cancel flight american airlines,140,"1,600",390,-76%,Travel - Airline - Cancellation - Question,Health & Safety
airport update,170,"1,600",390,-76%,Travel - Airline - News,Financial Hardship
how does travel insurance work,880,"1,600",390,-76%,Travel - Insurance - Question,Financial Hardship
travel waiver,590,"1,600",390,-76%,Travel - Waivers,Financial Hardship
travel waivers,590,"1,600",390,-76%,Travel - Waivers,Financial Hardship
how to wash hands properly,"2,400","14,800",3600,-76%,Travel - Airline - Cleanliness,Health & Safety
united airlines cancellations,"1,300","22,200",5400,-76%,Travel - Cancellation,Financial Hardship
state to state travel,30,"14,800",3600,-76%,Travel - States,Health & Safety
southwest airlines cancel flight,"1,600","18,100",4400,-76%,Travel - Airline - Cancellation,Health & Safety
us flight restrictions,720,"6,600",1600,-76%,Travel - Travel Ban,Travel Distruption
trip cancellation insurance,"5,400","5,400",1300,-76%,Travel - Insurance - Cancellation,Financial Hardship
air travel restrictions,590,"12,100",2900,-76%,Travel - Restriction,Travel Distruption
travel insurance flight cancellation,390,880,210,-76%,Travel - Insurance - Cancellation,Financial Hardship
government travel warnings,720,880,210,-76%,Travel - Travel Ban,Health & Safety
should i purchase travel insurance,260,210,50,-76%,Travel - Insurance - Question,Financial Hardship
should i buy trip insurance,320,210,50,-76%,Travel - Insurance - Question,Financial Hardship
refundable international flights,140,210,50,-76%,Travel - Refund,Financial Hardship
united rebooking,70,590,140,-76%,Travel - Airline - Fees - Rebooking,Financial Hardship
united airlines rebooking,90,590,140,-76%,Travel - Airline - Fees - Rebooking,Financial Hardship
flight ticket insurance,320,590,140,-76%,Travel - Insurance,Financial Hardship
who hand washing steps,170,720,170,-76%,Travel - Airline - Cleanliness,Health & Safety
american flight cancellation policy,110,720,170,-76%,Travel - Cancellation,Health & Safety
cdc travel immunizations,"1,600",720,170,-76%,Travel - CDC,Health & Safety
airbnb cancelations,10,720,170,-76%,Travel - Hotel - Cancellation,Financial Hardship
dispute hotel cancellation charge,90,170,40,-76%,Travel - Hotel - Cancellation,Financial Hardship
commercial travel ban,10,170,40,-76%,Travel - Travel Ban,Travel Distruption
is southwest canceling flights,40,"8,100",1900,-77%,Travel - Cancellation - Question,Health & Safety
air ticket cancellation,70,390,90,-77%,Travel - Cancellation,Financial Hardship
how many flights were cancelled today,50,390,90,-77%,Travel - Cancellation - Question,Health & Safety
top travel insurance companies,480,390,90,-77%,Travel - Insurance,Financial Hardship
hotel refund policy,140,480,110,-77%,Travel - Hotel - Refund,Financial Hardship
non refundable hotel,170,480,110,-77%,Travel - Hotel - Refund,Financial Hardship
flights cancelled by american airlines,10,90,20,-78%,Travel - Airline - Cancellation,Health & Safety
southwest cancel fee,40,90,20,-78%,Travel - Airline - Cancellation,Health & Safety
disinfectant wipes airplane,40,90,20,-78%,Travel - Airline - Cleanliness,Health & Safety
online flight cancellation,10,90,20,-78%,Travel - Cancellation,Financial Hardship
dia cancelled flights today,40,90,20,-78%,Travel - Cancellation,Financial Hardship
do you have to cancel a flight,50,90,20,-78%,Travel - Cancellation,Health & Safety
flight cancellation charges,30,90,20,-78%,Travel - Cancellation - Charges,Financial Hardship
cancel my vacation,10,90,20,-78%,Travel - Cancellation - Insurance,Financial Hardship
what happens if you don t cancel your flight,20,90,20,-78%,Travel - Cancellation - Question,Health & Safety
hotel cancellation policy sample,90,90,20,-78%,Travel - Hotel - Cancellation,Financial Hardship
travel insurance trip cancellation for any reason,90,90,20,-78%,Travel - Insurance - Cancellation,Financial Hardship
best cancel for any reason insurance,70,90,20,-78%,Travel - Insurance - Cancellation - Best,Financial Hardship
flights into florida cancelled,10,320,70,-78%,Travel - Cancellation,Health & Safety
